,index,timestamp,address,sens1,sens2,sens3,sens4
14513,25913,17.122999906539917, John/eeg, 994.029304029, 869.926739927, 864.688644689, 875.164835165
14515,25915,17.122999906539917, John/eeg, 979.523809524, 867.912087912, 870.32967033, 886.446886447
14517,25917,17.122999906539917, John/eeg, 958.974358974, 861.062271062, 869.120879121, 890.879120879
14519,25919,17.122999906539917, John/eeg, 966.63003663, 862.673992674, 872.747252747, 898.534798535
14527,25927,17.15999984741211, John/eeg, 975.091575092, 863.882783883, 873.15018315, 901.355311355
14529,25929,17.15999984741211, John/eeg, 987.582417582, 864.688644689, 871.135531136, 897.326007326
14531,25931,17.15999984741211, John/eeg, 996.043956044, 858.644688645, 869.120879121, 901.355311355
14533,25933,17.16100001335144, John/eeg, 991.611721612, 854.212454212, 861.465201465, 897.326007326
14535,25935,17.16100001335144, John/eeg, 1008.93772894, 859.853479853, 857.838827839, 889.67032967
14537,25937,17.16100001335144, John/eeg, 989.194139194, 859.450549451, 853.003663004, 892.893772894
14539,25939,17.16100001335144, John/eeg, 950.10989011, 856.63003663, 854.615384615, 886.043956044
14541,25941,17.161999940872192, John/eeg, 966.227106227, 855.018315018, 863.882783883, 881.611721612
14543,25943,17.161999940872192, John/eeg, 1004.1025641, 859.450549451, 869.120879121, 891.282051282
14545,25945,17.161999940872192, John/eeg, 993.223443223, 858.644688645, 873.15018315, 903.36996337
14547,25947,17.161999940872192, John/eeg, 958.571428571, 849.78021978, 870.32967033, 894.908424908
14549,25949,17.162999868392944, John/eeg, 938.021978022, 851.794871795, 866.703296703, 878.388278388
14551,25951,17.180999994277954, John/eeg, 929.157509158, 853.003663004, 855.824175824, 878.388278388
14553,25953,17.180999994277954, John/eeg, 939.230769231, 854.212454212, 850.183150183, 898.534798535
14555,25955,17.180999994277954, John/eeg, 957.362637363, 855.421245421, 860.659340659, 909.413919414
14557,25957,17.181999921798706, John/eeg, 971.465201465, 853.406593407, 867.106227106, 894.102564103
14559,25959,17.181999921798706, John/eeg, 972.271062271, 853.003663004, 868.717948718, 899.743589744
14561,25961,17.181999921798706, John/eeg, 988.791208791, 855.824175824, 865.494505495, 891.282051282
14563,25963,17.181999921798706, John/eeg, 996.043956044, 854.212454212, 860.659340659, 874.761904762
14565,25965,17.182999849319458, John/eeg, 993.626373626, 852.197802198, 861.868131868, 881.611721612
14567,25967,17.182999849319458, John/eeg, 985.970695971, 849.78021978, 863.076923077, 880.0
